k_carriers,window_ms,window_sec,phase_levels,phase_bits,snr_power,snr_db,snr_mode,freq_min_hz,freq_max_hz,freq_spacing_hz,cycles_at_20hz,cycles_at_40hz,fourier_resolution_hz,n_trials,fs_hz,per_carrier_accuracy,codeword_accuracy,target_accuracy
48,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.425531914893617,1.0,2.0,20.0,100,1000.0,0.5983333333333334,0.0,0.9
49,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.4166666666666667,1.0,2.0,20.0,100,1000.0,0.5904081632653061,0.0,0.9
50,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.40816326530612246,1.0,2.0,20.0,100,1000.0,0.5834,0.0,0.9
51,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.4,1.0,2.0,20.0,100,1000.0,0.5843137254901961,0.0,0.9
52,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.39215686274509803,1.0,2.0,20.0,100,1000.0,0.5825,0.0,0.9
53,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.38461538461538464,1.0,2.0,20.0,100,1000.0,0.579622641509434,0.0,0.9
54,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.37735849056603776,1.0,2.0,20.0,100,1000.0,0.5981481481481481,0.0,0.9
55,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.37037037037037035,1.0,2.0,20.0,100,1000.0,0.5809090909090909,0.0,0.9
56,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.36363636363636365,1.0,2.0,20.0,100,1000.0,0.58625,0.0,0.9
57,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.35714285714285715,1.0,2.0,20.0,100,1000.0,0.5921052631578947,0.0,0.9
58,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3508771929824561,1.0,2.0,20.0,100,1000.0,0.5863793103448276,0.0,0.9
59,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3448275862068966,1.0,2.0,20.0,100,1000.0,0.5777966101694916,0.0,0.9
60,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3389830508474576,1.0,2.0,20.0,100,1000.0,0.5808333333333333,0.0,0.9
61,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3333333333333333,1.0,2.0,20.0,100,1000.0,0.5778688524590164,0.0,0.9
62,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.32786885245901637,1.0,2.0,20.0,100,1000.0,0.5812903225806452,0.0,0.9
63,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3225806451612903,1.0,2.0,20.0,100,1000.0,0.5806349206349206,0.0,0.9
64,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.31746031746031744,1.0,2.0,20.0,100,1000.0,0.5828125,0.0,0.9
65,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3125,1.0,2.0,20.0,100,1000.0,0.5783076923076923,0.0,0.9
66,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.3076923076923077,1.0,2.0,20.0,100,1000.0,0.5759090909090909,0.0,0.9
67,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.30303030303030304,1.0,2.0,20.0,100,1000.0,0.582089552238806,0.0,0.9
68,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.29850746268656714,1.0,2.0,20.0,100,1000.0,0.5791176470588235,0.0,0.9
69,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.29411764705882354,1.0,2.0,20.0,100,1000.0,0.576376811594203,0.0,0.9
70,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.2898550724637681,1.0,2.0,20.0,100,1000.0,0.5741428571428572,0.0,0.9
71,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.2857142857142857,1.0,2.0,20.0,100,1000.0,0.571830985915493,0.0,0.9
72,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.28169014084507044,1.0,2.0,20.0,100,1000.0,0.5711111111111111,0.0,0.9
73,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.2777777777777778,1.0,2.0,20.0,100,1000.0,0.5708219178082192,0.0,0.9
74,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.273972602739726,1.0,2.0,20.0,100,1000.0,0.5767567567567567,0.0,0.9
75,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.2702702702702703,1.0,2.0,20.0,100,1000.0,0.5701333333333334,0.0,0.9
76,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.26666666666666666,1.0,2.0,20.0,100,1000.0,0.5688157894736842,0.0,0.9
77,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.2631578947368421,1.0,2.0,20.0,100,1000.0,0.5733766233766234,0.0,0.9
78,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.2597402597402597,1.0,2.0,20.0,100,1000.0,0.5678205128205128,0.0,0.9
79,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.2564102564102564,1.0,2.0,20.0,100,1000.0,0.5749367088607595,0.0,0.9
80,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.25316455696202533,1.0,2.0,20.0,100,1000.0,0.568875,0.0,0.9
1,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,,1.0,2.0,20.0,100,1000.0,0.94,0.94,0.9
2,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,20.0,1.0,2.0,20.0,100,1000.0,0.965,0.93,0.9
3,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,10.0,1.0,2.0,20.0,100,1000.0,0.7366666666666667,0.41,0.9
4,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,6.666666666666667,1.0,2.0,20.0,100,1000.0,0.6275,0.13,0.9
5,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,5.0,1.0,2.0,20.0,100,1000.0,0.564,0.03,0.9
6,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,4.0,1.0,2.0,20.0,100,1000.0,0.525,0.01,0.9
7,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,3.3333333333333335,1.0,2.0,20.0,100,1000.0,0.47285714285714286,0.0,0.9
8,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,2.857142857142857,1.0,2.0,20.0,100,1000.0,0.48125,0.0,0.9
9,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,2.5,1.0,2.0,20.0,100,1000.0,0.46555555555555556,0.0,0.9
10,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,2.2222222222222223,1.0,2.0,20.0,100,1000.0,0.437,0.0,0.9
11,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,2.0,1.0,2.0,20.0,100,1000.0,0.42363636363636364,0.0,0.9
12,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.8181818181818181,1.0,2.0,20.0,100,1000.0,0.425,0.0,0.9
13,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.6666666666666667,1.0,2.0,20.0,100,1000.0,0.40692307692307694,0.0,0.9
14,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.5384615384615385,1.0,2.0,20.0,100,1000.0,0.43714285714285717,0.0,0.9
15,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.4285714285714286,1.0,2.0,20.0,100,1000.0,0.4073333333333333,0.0,0.9
16,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.3333333333333333,1.0,2.0,20.0,100,1000.0,0.405625,0.0,0.9
17,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.25,1.0,2.0,20.0,100,1000.0,0.38294117647058823,0.0,0.9
18,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.1764705882352942,1.0,2.0,20.0,100,1000.0,0.3794444444444444,0.0,0.9
19,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.1111111111111112,1.0,2.0,20.0,100,1000.0,0.39052631578947367,0.0,0.9
20,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.0526315789473684,1.0,2.0,20.0,100,1000.0,0.379,0.0,0.9
21,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,1.0,1.0,2.0,20.0,100,1000.0,0.3628571428571429,0.0,0.9
22,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.9523809523809523,1.0,2.0,20.0,100,1000.0,0.3704545454545455,0.0,0.9
23,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.9090909090909091,1.0,2.0,20.0,100,1000.0,0.38217391304347825,0.0,0.9
24,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.8695652173913043,1.0,2.0,20.0,100,1000.0,0.3645833333333333,0.0,0.9
25,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.8333333333333334,1.0,2.0,20.0,100,1000.0,0.3524,0.0,0.9
26,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.8,1.0,2.0,20.0,100,1000.0,0.3657692307692308,0.0,0.9
27,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.7692307692307693,1.0,2.0,20.0,100,1000.0,0.3437037037037037,0.0,0.9
28,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.7407407407407407,1.0,2.0,20.0,100,1000.0,0.36642857142857144,0.0,0.9
29,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.7142857142857143,1.0,2.0,20.0,100,1000.0,0.35482758620689653,0.0,0.9
30,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.6896551724137931,1.0,2.0,20.0,100,1000.0,0.349,0.0,0.9
31,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.6666666666666666,1.0,2.0,20.0,100,1000.0,0.34,0.0,0.9
32,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.6451612903225806,1.0,2.0,20.0,100,1000.0,0.344375,0.0,0.9
33,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.625,1.0,2.0,20.0,100,1000.0,0.3524242424242424,0.0,0.9
34,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.6060606060606061,1.0,2.0,20.0,100,1000.0,0.3382352941176471,0.0,0.9
35,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5882352941176471,1.0,2.0,20.0,100,1000.0,0.3377142857142857,0.0,0.9
36,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5714285714285714,1.0,2.0,20.0,100,1000.0,0.34,0.0,0.9
37,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5555555555555556,1.0,2.0,20.0,100,1000.0,0.34297297297297297,0.0,0.9
38,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5405405405405406,1.0,2.0,20.0,100,1000.0,0.3394736842105263,0.0,0.9
39,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5263157894736842,1.0,2.0,20.0,100,1000.0,0.33666666666666667,0.0,0.9
40,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5128205128205128,1.0,2.0,20.0,100,1000.0,0.32575,0.0,0.9
41,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5,1.0,2.0,20.0,100,1000.0,0.3248780487804878,0.0,0.9
42,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.4878048780487805,1.0,2.0,20.0,100,1000.0,0.3323809523809524,0.0,0.9
43,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.47619047619047616,1.0,2.0,20.0,100,1000.0,0.34255813953488373,0.0,0.9
44,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.46511627906976744,1.0,2.0,20.0,100,1000.0,0.34454545454545454,0.0,0.9
45,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.45454545454545453,1.0,2.0,20.0,100,1000.0,0.33244444444444443,0.0,0.9
46,50,0.05,4,2.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.4444444444444444,1.0,2.0,20.0,100,1000.0,0.3258695652173913,0.0,0.9
