k_carriers,window_ms,window_sec,phase_levels,phase_bits,snr_power,snr_db,snr_mode,noise_spectrum,f_ref_hz,freq_min_hz,freq_max_hz,freq_spacing_hz,cycles_at_20hz,cycles_at_40hz,fourier_resolution_hz,n_trials,fs_hz,per_carrier_accuracy,codeword_accuracy
22,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,0.9523809523809523,2.0,4.0,10.0,2500,1000.0,0.3926909090909091,0.0
23,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,0.9090909090909091,2.0,4.0,10.0,2500,1000.0,0.3925391304347826,0.0
24,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,0.8695652173913043,2.0,4.0,10.0,2500,1000.0,0.38431666666666664,0.0
25,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,0.8333333333333334,2.0,4.0,10.0,2500,1000.0,0.385856,0.0
26,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,0.8,2.0,4.0,10.0,2500,1000.0,0.3842153846153846,0.0
27,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,0.7692307692307693,2.0,4.0,10.0,2500,1000.0,0.38035555555555556,0.0
28,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,0.7407407407407407,2.0,4.0,10.0,2500,1000.0,0.3813285714285714,0.0
29,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,0.7142857142857143,2.0,4.0,10.0,2500,1000.0,0.374151724137931,0.0
30,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,0.6896551724137931,2.0,4.0,10.0,2500,1000.0,0.37412,0.0
1,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,,2.0,4.0,10.0,2500,1000.0,0.7096,0.7096
2,100,0.1,4,2.0,0.02,-16.989700043360187,per_carrier_power,white,28.284271247461902,20.0,40.0,20.0,2.0,4.0,10.0,2500,1000.0,0.7136,0.5084
